Title,Actors,Description
Zero Dark Thirty,"Jessica Chastain, Joel Edgerton, Chris Pratt, Mark Strong","A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011."
Tangled,"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman","The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
The Hunger Games: Mockingjay - Part 2,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson","As the war of Panem escalates to the destruction of other districts, Katniss Everdeen, the reluctant leader of the rebellion, must bring together an army against President Snow, while all she holds dear hangs in the balance."
Vacation,"Ed Helms, Christina Applegate, Skyler Gisondo, Steele Stebbins","Rusty Griswold takes his own family on a road trip to ""Walley World"" in order to spice things up with his wife and reconnect with his sons."
Taken,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser","A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
Pitch Perfect 2,"Anna Kendrick, Rebel Wilson, Hailee Steinfeld,Brittany Snow","After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform."
Monsters University,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren",A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.
Elle,"Isabelle Huppert, Laurent Lafitte, Anne Consigny,Charles Berling",A successful businesswoman gets caught up in a game of cat and mouse as she tracks down the unknown man who raped her.
Mechanic: Resurrection,"Jason Statham, Jessica Alba, Tommy Lee Jones,Michelle Yeoh","Arthur Bishop thought he had put his murderous past behind him, until his most formidable foe kidnaps the love of his life. Now he is forced to travel the globe to complete three impossible assassinations, and do what he does best: make them look like accidents."
Tusk,"Justin Long, Michael Parks, Haley Joel Osment,Genesis Rodriguez","When podcaster Wallace Bryton goes missing in the backwoods of Manitoba while interviewing a mysterious seafarer named Howard Howe, his best friend Teddy and girlfriend Allison team with an ex-cop to look for him."
The Headhunter's Calling,"Alison Brie, Gerard Butler, Willem Dafoe, Gretchen Mol","A headhunter whose life revolves around closing deals in a a survival-of-the-fittest boiler room, battles his top rival for control of their job placement company -- his dream of owning the company clashing with the needs of his family."
Atonement,"Keira Knightley, James McAvoy, Brenda Blethyn,Saoirse Ronan","Fledgling writer Briony Tallis, as a thirteen-year-old, irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit."
Harry Potter and the Deathly Hallows: Part 1,"Daniel Radcliffe, Emma Watson, Rupert Grint, Bill Nighy","As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows."
Shame,"Michael Fassbender, Carey Mulligan, James Badge Dale, Lucy Walters",A man's carefully cultivated private life is disrupted when his sister arrives for an indefinite stay.
Hanna,"Saoirse Ronan, Cate Blanchett, Eric Bana, Vicky Krieps","A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives."
The Babysitters,"Lauren Birkell, Paul Borghese, Chira Cassel, Anthony Cirillo",A teenager turns her babysitting service into a call-girl service for married guys after fooling around with one of her customers.
Pride and Prejudice and Zombies,"Lily James, Sam Riley, Jack Huston, Bella Heathcote",Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.
300: Rise of an Empire,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson","Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy."
London Has Fallen,"Gerard Butler, Aaron Eckhart, Morgan Freeman,Angela Bassett","In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders."
The Curious Case of Benjamin Button,"Brad Pitt, Cate Blanchett, Tilda Swinton, Julia Ormond","Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences."
Sin City: A Dame to Kill For,"Mickey Rourke, Jessica Alba, Josh Brolin, Joseph Gordon-Levitt",Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.
The Bourne Ultimatum,"Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles",Jason Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer.
Srpski film,"Srdjan 'Zika' Todorovic, Sergej Trifunovic,Jelena Gavrilovic, Slobodan Bestic","An aging porn star agrees to participate in an ""art film"" in order to make a clean break from the business, only to discover that he has been drafted into making a pedophilia and necrophilia themed snuff film."
The Purge: Election Year,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, Joseph Julian Soria","Former Police Sergeant Barnes becomes head of security for Senator Charlie Roan, a Presidential candidate targeted for death on Purge night due to her vow to eliminate the Purge."
3 Idiots,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
Zoolander 2,"Ben Stiller, Owen Wilson, Penélope Cruz, Will Ferrell","Derek and Hansel are lured into modeling again, in Rome, where they find themselves the target of a sinister conspiracy."
World War Z,"Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale","Former United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself."
Mission: Impossible - Ghost Protocol,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton","The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name."
Let Me Make You a Martyr,"Marilyn Manson, Mark Boone Junior, Sam Quartin, Niko Nicotera","A cerebral revenge film about two adopted siblings who fall in love, and hatch a plan to kill their abusive father."
Filth,"James McAvoy, Jamie Bell, Eddie Marsan, Imogen Poots","A corrupt, junkie cop with bipolar disorder attempts to manipulate his way through a promotion in order to win back his wife and daughter while also fighting his own borderline-fueled inner demons."
The Longest Ride,"Scott Eastwood, Britt Robertson, Alan Alda, Jack Huston","The lives of a young couple intertwine with a much older man, as he reflects back on a past love."
The imposible,"Naomi Watts, Ewan McGregor, Tom Holland, Oaklee Pendergast",The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.
Kick-Ass 2,"Aaron Taylor-Johnson, Chloë Grace Moretz,Christopher Mintz-Plasse, Jim Carrey","Following Kick-Ass' heroics, other citizens are inspired to become masked crusaders. But the Red Mist leads his own group of evil supervillains to kill Kick-Ass and destroy everything for which he stands."
Folk Hero & Funny Guy,"Alex Karpovsky, Wyatt Russell, Meredith Hagner,Melanie Lynskey",A successful singer-songwriter hatches a plan to help his friend's struggling comedy career and broken love life by hiring him as his opening act on his solo tour.
Oz the Great and Powerful,"James Franco, Michelle Williams, Rachel Weisz, Mila Kunis","A frustrated circus magician from Kansas is transported to a magical land called Oz, where he will have to fulfill a prophecy to become the king, and release the land from the Wicked Witches using his great (but fake) powers."
Brooklyn,"Saoirse Ronan, Emory Cohen, Domhnall Gleeson,Jim Broadbent","An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within."
Coraline,"Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders","An adventurous girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets."
Blue Valentine,"Ryan Gosling, Michelle Williams, John Doman,Faith Wladyka","The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods."
The Thinning,"Logan Paul, Peyton List, Lia Marie Johnson,Calum Worthy","""The Thinning"" takes place in a post-apocalyptic future where population control is dictated by a high-school aptitude test. When two students (Logan Paul and Peyton List) discover the test... See full summary »"
Silent Hill,"Radha Mitchell, Laurie Holden, Sean Bean,Deborah Kara Unger","A woman, Rose, goes in search for her adopted daughter within the confines of a strange, desolate town called Silent Hill."
Dredd,"Karl Urban, Olivia Thirlby, Lena Headey, Rachel Wood","In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO."
Hunt for the Wilderpeople,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House",A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.
Big Hero 6,"Ryan Potter, Scott Adsit, Jamie Chung,T.J. Miller","The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes."
